"","Model"
"Jan. Low Flow",22.7
"Feb. Low Flow",30.1
"Mar. Low Flow",57.5
"Apr. Low Flow",97.3
"May Low Flow",130
"Jun. Low Flow",136
"Jul. Low Flow",86.9
"Aug. Low Flow",53.6
"Sep. Low Flow",41.7
"Oct. Low Flow",33.3
"Nov. Low Flow",31.9
"Dec. Low Flow",23.7
