"","Model"
"Min. 1 Day Min",109
"Med. 1 Day Min",389
"Min. 3 Day Min",110
"Med. 3 Day Min",405
"Min. 7 Day Min",113
"Med. 7 Day Min",423
"Min. 30 Day Min",145
"Med. 30 Day Min",616
"Min. 90 Day Min",272
"Med. 90 Day Min",848
"7Q10",170
"Year of 90-Day Low Flow",2002
"Drought Year Mean",720.013082897951
"Mean Baseflow",1830
