"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",22.7,0.418,-98.2
"Med. 1 Day Min",40,7.41,-81.5
"Min. 3 Day Min",22.8,0.42,-98.2
"Med. 3 Day Min",40.3,8.29,-79.4
"Min. 7 Day Min",23.5,0.421,-98.2
"Med. 7 Day Min",41.1,9.23,-77.5
"Min. 30 Day Min",27.9,0.598,-97.9
"Med. 30 Day Min",47.3,27.3,-42.3
"Min. 90 Day Min",44.2,44.9,1.58
"Med. 90 Day Min",85.7,105,22.5
"7Q10",31.6,1.53,-95.2
"Year of 90-Day Low Flow",2002,1993,100
"Drought Year Mean",140.21095890411,177.430308316982,26.5
"Mean Baseflow",177,220,24.3
