"","agency_cd","site_no","Date","Flow","Flow_cd"
"1","USGS","02052500",1984-01-01,89,"A"
"2","USGS","02052500",1984-01-02,72,"A"
"3","USGS","02052500",1984-01-03,70,"A"
"4","USGS","02052500",1984-01-04,67,"A"
"5","USGS","02052500",1984-01-05,65,"A"
"6","USGS","02052500",1984-01-06,64,"A"
"7","USGS","02052500",1984-01-07,61,"A"
"8","USGS","02052500",1984-01-08,54,"A"
"9","USGS","02052500",1984-01-09,49,"A"
"10","USGS","02052500",1984-01-10,120,"A"
"11","USGS","02052500",1984-01-11,987,"A"
"12","USGS","02052500",1984-01-12,742,"A"
"13","USGS","02052500",1984-01-13,314,"A"
"14","USGS","02052500",1984-01-14,172,"A"
"15","USGS","02052500",1984-01-15,138,"A"
"16","USGS","02052500",1984-01-16,110,"A"
"17","USGS","02052500",1984-01-17,92,"A"
"18","USGS","02052500",1984-01-18,131,"A"
"19","USGS","02052500",1984-01-19,494,"A"
"20","USGS","02052500",1984-01-20,468,"A"
"21","USGS","02052500",1984-01-21,263,"A"
"22","USGS","02052500",1984-01-22,110,"A"
"23","USGS","02052500",1984-01-23,90,"A"
"24","USGS","02052500",1984-01-24,102,"A"
"25","USGS","02052500",1984-01-25,196,"A"
"26","USGS","02052500",1984-01-26,220,"A"
"27","USGS","02052500",1984-01-27,164,"A"
"28","USGS","02052500",1984-01-28,112,"A"
"29","USGS","02052500",1984-01-29,91,"A"
"30","USGS","02052500",1984-01-30,81,"A"
"31","USGS","02052500",1984-01-31,77,"A"
"32","USGS","02052500",1984-02-01,69,"A"
"33","USGS","02052500",1984-02-02,63,"A"
"34","USGS","02052500",1984-02-03,62,"A"
"35","USGS","02052500",1984-02-04,126,"A"
"36","USGS","02052500",1984-02-05,194,"A"
"37","USGS","02052500",1984-02-06,172,"A"
"38","USGS","02052500",1984-02-07,124,"A"
"39","USGS","02052500",1984-02-08,93,"A"
"40","USGS","02052500",1984-02-09,83,"A"
"41","USGS","02052500",1984-02-10,82,"A"
"42","USGS","02052500",1984-02-11,83,"A"
"43","USGS","02052500",1984-02-12,90,"A"
"44","USGS","02052500",1984-02-13,84,"A"
"45","USGS","02052500",1984-02-14,1940,"A"
"46","USGS","02052500",1984-02-15,3040,"A"
"47","USGS","02052500",1984-02-16,735,"A"
"48","USGS","02052500",1984-02-17,259,"A"
"49","USGS","02052500",1984-02-18,165,"A"
"50","USGS","02052500",1984-02-19,126,"A"
"51","USGS","02052500",1984-02-20,106,"A"
"52","USGS","02052500",1984-02-21,91,"A"
"53","USGS","02052500",1984-02-22,78,"A"
"54","USGS","02052500",1984-02-23,177,"A"
"55","USGS","02052500",1984-02-24,451,"A"
"56","USGS","02052500",1984-02-25,299,"A"
"57","USGS","02052500",1984-02-26,153,"A"
"58","USGS","02052500",1984-02-27,130,"A"
"59","USGS","02052500",1984-02-28,315,"A"
"60","USGS","02052500",1984-02-29,276,"A"
"61","USGS","02052500",1984-03-01,172,"A"
"62","USGS","02052500",1984-03-02,119,"A"
"63","USGS","02052500",1984-03-03,99,"A"
"64","USGS","02052500",1984-03-04,86,"A"
"65","USGS","02052500",1984-03-05,125,"A"
"66","USGS","02052500",1984-03-06,1290,"A"
"67","USGS","02052500",1984-03-07,1570,"A"
"68","USGS","02052500",1984-03-08,629,"A"
"69","USGS","02052500",1984-03-09,369,"A"
"70","USGS","02052500",1984-03-10,247,"A"
"71","USGS","02052500",1984-03-11,171,"A"
"72","USGS","02052500",1984-03-12,133,"A"
"73","USGS","02052500",1984-03-13,176,"A"
"74","USGS","02052500",1984-03-14,346,"A"
"75","USGS","02052500",1984-03-15,276,"A"
"76","USGS","02052500",1984-03-16,164,"A"
"77","USGS","02052500",1984-03-17,124,"A"
"78","USGS","02052500",1984-03-18,103,"A"
"79","USGS","02052500",1984-03-19,95,"A"
"80","USGS","02052500",1984-03-20,95,"A"
"81","USGS","02052500",1984-03-21,175,"A"
"82","USGS","02052500",1984-03-22,174,"A"
"83","USGS","02052500",1984-03-23,115,"A"
"84","USGS","02052500",1984-03-24,85,"A"
"85","USGS","02052500",1984-03-25,83,"A"
"86","USGS","02052500",1984-03-26,154,"A"
"87","USGS","02052500",1984-03-27,169,"A"
"88","USGS","02052500",1984-03-28,173,"A"
"89","USGS","02052500",1984-03-29,428,"A"
"90","USGS","02052500",1984-03-30,451,"A"
"91","USGS","02052500",1984-03-31,225,"A"
"92","USGS","02052500",1984-04-01,127,"A"
"93","USGS","02052500",1984-04-02,103,"A"
"94","USGS","02052500",1984-04-03,89,"A"
"95","USGS","02052500",1984-04-04,104,"A"
"96","USGS","02052500",1984-04-05,373,"A"
"97","USGS","02052500",1984-04-06,349,"A"
"98","USGS","02052500",1984-04-07,185,"A"
"99","USGS","02052500",1984-04-08,112,"A"
"100","USGS","02052500",1984-04-09,91,"A"
"101","USGS","02052500",1984-04-10,314,"A"
"102","USGS","02052500",1984-04-11,629,"A"
"103","USGS","02052500",1984-04-12,338,"A"
"104","USGS","02052500",1984-04-13,162,"A"
"105","USGS","02052500",1984-04-14,185,"A"
"106","USGS","02052500",1984-04-15,354,"A"
"107","USGS","02052500",1984-04-16,611,"A"
"108","USGS","02052500",1984-04-17,435,"A"
"109","USGS","02052500",1984-04-18,231,"A"
"110","USGS","02052500",1984-04-19,143,"A"
"111","USGS","02052500",1984-04-20,118,"A"
"112","USGS","02052500",1984-04-21,101,"A"
"113","USGS","02052500",1984-04-22,93,"A"
"114","USGS","02052500",1984-04-23,289,"A"
"115","USGS","02052500",1984-04-24,319,"A"
"116","USGS","02052500",1984-04-25,188,"A"
"117","USGS","02052500",1984-04-26,115,"A"
"118","USGS","02052500",1984-04-27,91,"A"
"119","USGS","02052500",1984-04-28,76,"A"
"120","USGS","02052500",1984-04-29,68,"A"
"121","USGS","02052500",1984-04-30,62,"A"
"122","USGS","02052500",1984-05-01,62,"A"
"123","USGS","02052500",1984-05-02,53,"A"
"124","USGS","02052500",1984-05-03,53,"A"
"125","USGS","02052500",1984-05-04,55,"A"
"126","USGS","02052500",1984-05-05,47,"A"
"127","USGS","02052500",1984-05-06,50,"A"
"128","USGS","02052500",1984-05-07,74,"A"
"129","USGS","02052500",1984-05-08,70,"A"
"130","USGS","02052500",1984-05-09,82,"A"
"131","USGS","02052500",1984-05-10,61,"A"
"132","USGS","02052500",1984-05-11,46,"A"
"133","USGS","02052500",1984-05-12,37,"A"
"134","USGS","02052500",1984-05-13,32,"A"
"135","USGS","02052500",1984-05-14,29,"A"
"136","USGS","02052500",1984-05-15,25,"A"
"137","USGS","02052500",1984-05-16,23,"A"
"138","USGS","02052500",1984-05-17,20,"A"
"139","USGS","02052500",1984-05-18,19,"A"
"140","USGS","02052500",1984-05-19,19,"A"
"141","USGS","02052500",1984-05-20,17,"A"
"142","USGS","02052500",1984-05-21,16,"A"
