"","segment","gage","gageDA","segDA","error"
"1","EL0_4562_0001",1487000,75.4,9.687319756,87.1520958143236
"4","EL2_5270_0001",1485000,60.5,128.0310059,-111.621497355372
"9","JA2_7570_7480",2041000,158,47.87860107,69.6970879303797
"10","JA4_7340_7470",2040000,725,20.25250053,97.2065516510345
"11","JA5_7520_0000",2041650,1342,50.31200027,96.2509686833085
"12","JA5_7520_0000",2041650,1342,0.68839699,99.9487036520119
"15","JL1_6910_6960",2030000,116,22.21870041,80.8459479224138
"16","JL1_7190_7250",2027500,47.7,23.52630043,50.6786154507338
"17","JL1_7200_7250",2027000,93,13.11340046,85.8995693978495
"19","JL2_6441_6520",2032515,259,52.3246994,79.7974133590734
"20","JL2_6850_6890",2028500,94.8,154.9019928,-63.3987265822785
"21","JL2_7120_6970",2030500,226,18.92779922,91.6248676017699
"22","JL2_7350_7090",2027800,148,7.635389805,94.8409528344595
"23","JL4_6710_6740",2034000,663,69.14920044,89.5702563438914
"24","JL6_6890_6990",2029000,4581,94.28369904,97.9418533280943
"25","JL6_7160_7440",2025500,3256,205.5780029,93.686179272113
"26","JL6_7430_7320",2026000,3649,52.35570145,98.5652041257879
"27","JL7_6800_7070",2037000,66.6,357.7839966,-437.213208108108
"28","JL7_7030_6800",2035000,6252,60.32619858,99.0350895940499
"29","JL7_7070_0001",2037500,6753,36.11159897,99.4652510148082
"31","JU1_6590_6600",2011460,60.9,17.15839958,71.825288045977
"32","JU1_6590_6600",2011470,75.6,17.15839958,77.3037042592593
"33","JU1_7560_7500",2018500,34.3,81.52030182,-137.668518425656
"36","JU2_6600_6810",2011500,134,56.80509949,57.6081347089552
"38","JU2_7360_7000",2014000,153,20.36260033,86.6911108954248
"40","JU3_6650_7300",2016000,461,278.8349915,39.5151862255965
"41","JU3_6790_7260",2021500,329,199.2030029,39.4519748024316
"42","JU3_6900_6950",2011800,345,45.8288002,86.7162897971015
"43","JU3_7400_7510",2018000,329,43.3370018,86.8276590273556
"44","JU4_7260_7380",2024000,647,44.21760178,93.1657493384853
"45","JU4_7330_7000",2013100,612,10.47959995,98.2876470669935
"46","JU5_7300_7510",2016500,1371,86.31390381,93.7043104442013
"47","JU5_7420_7160",2019500,2073,141.022995,93.1971541244573
"48","PL0_4510_0001",1651000,49.4,52.1405983,-5.54776983805668
"50","PL0_5090_0000",1653000,33.9,9.763429642,71.1993225899705
"51","PL0_5450_0000",1658000,54.8,24.78809929,54.7662421715328
"52","PL0_5490_0001",1658500,7.62,19.68910027,-158.387142650919
"54","PL0_5981_0000",1661500,24,16.91720009,29.5116662916667
"57","PL1_5060_0000",1653600,39.5,23.33239937,40.9306345063291
"58","PL1_5690_0001",1660400,35,21.25909996,39.2597144
"60","PL2_5470_5360",1656000,93.4,102.802002,-10.0663832976445
"61","PL7_4910_0000",1646580,11570,3.759150028,99.9675095071046
"62","PL7_4910_0000",1646580,11570,0.546141028,99.9952796799654
"63","PM1_3120_3400",1639500,102,107.762001,-5.64902058823529
"67","PM3_3040_3340",1639000,173,146.326004,15.4184947976879
"68","PM3_4660_4620",1644000,332,54.39839935,83.6149399548193
"69","PM3_4670_4660",1643700,122,210.779007,-72.7696778688525
"70","PM4_4040_4410",1643000,817,153.8769989,81.1656060097919
"71","PM7_4200_4410",1638500,9651,41.0788002,99.5743570593721
"72","PM7_4820_0001",1646500,11560,10.87959957,99.9058858168685
"73","PM7_4820_0001",1646500,11560,0.546553016,99.9952720327336
"74","PM7_4820_0001",1646502,11560,10.87959957,99.9058858168685
"75","PM7_4820_0001",1646502,11560,0.546553016,99.9952720327336
"77","PS1_4830_5080",1634500,102,55.3451004,45.7400976470588
"78","PS2_5560_5100",1632000,210,299.0950012,-42.426191047619
"79","PS2_6420_6360",1627500,212,22.69510078,89.2947637830189
"80","PS2_6490_6420",1626850,148,63.79270172,56.8968231621622
"82","PS3_5100_5080",1633000,508,264.7120056,47.891337480315
"83","PS3_5100_5080",1634000,770,264.7120056,65.6218174545455
"84","PS3_6161_6280",1622000,376,9.024299622,97.5999203132979
"86","PS4_5840_5240",1628500,1079,297.394989,72.4379064874884
"87","PS5_4370_4150",1636500,3041,22.21890068,99.2693554528116
"88","PS5_5200_4380",1631000,1634,37.53620148,97.7028028470012
"89","PS5_5240_5200",1629500,1372,262.2600098,80.8848389358601
"90","PU0_5620_5380",1605500,179,88.17849731,50.7382696592179
"93","PU1_4300_4440",1597500,106,11.11530018,89.513867754717
"94","PU1_4760_4450",1595200,48.7,9.852370262,79.7692602422998
"95","PU2_3900_3750",1616500,273,66.40640259,75.6753104065934
"96","PU2_4050_4180",1619500,281,10.81620026,96.1508184128114
"97","PU2_4160_3930",1604500,221,63.76150131,71.1486419411765
"100","PU2_5190_4310",1607500,103,176.8000031,-71.6504884466019
"101","PU2_5190_4310",1608000,277,176.8000031,36.1732840794224
"102","PU3_3290_3390",1614500,494,23.48329926,95.2462956963563
"103","PU3_3680_3890",1601500,247,64.2410965,73.9914589068826
"104","PU3_3860_3610",1611500,675,60.60020065,91.0221924962963
"105","PU4_3990_3780",1603000,877,2.578020096,99.7060410380844
"106","PU4_4210_4170",1608500,1461,19.39369965,98.6725736036961
"107","PU4_4440_3970",1598500,406,3.282510042,99.1914999896552
"108","PU4_5050_4310",1606500,651,251.1150055,61.4262664362519
"109","PU6_3530_3440",1613000,4064,16.93250084,99.5833538179134
"110","PU6_3870_3690",1610000,3129,46.85279846,98.5026270866091
"111","PU6_4080_4180",1618000,5953,9.777449608,99.8357559279691
"112","RL1_6322_0000",1668500,45.6,1.521589994,96.6631798377193
"113","RL1_6322_0000",1668500,45.6,29.13820076,36.1004369298246
"114","RL5_6070_0000",1668000,1595,334.5299988,79.0263323636364
