,segment,gage,gageDA,segDA,error
1,EL1_5430_0001,1485500,44.9,45.38,-1.0711
2,EL2_4400_4590,1488500,46.8,47.55,-1.6034
3,EM2_3980_0001,1491000,113,114.19,-1.0504
4,EU0_3830_0001,1493000,19.7,20.08,-1.9152
5,EU1_2650_0001,1495000,51.6,53.21,-3.1217
6,JA2_7550_7280,2039500,302,312.81,-3.5805
7,JB3_6820_7053,2042500,251,251.24,-0.0956
8,JL1_6560_6440,2031000,95.3,95.35,-0.0555
9,JL2_6240_6520,2032680,174,177.19,-1.8316
10,JU1_6300_6650,2015700,110,110.4,-0.3673
11,JU1_7630_7490,2017500,105,105.15,-0.1391
12,JU2_6410_6640,2020500,141,141.52,-0.3702
13,JU2_7140_7330,2013000,162,169.06,-4.358
14,JU3_6380_6900,2011400,157,158.57,-0.9987
15,PL0_5010_5130,1654000,23.9,23.94,-0.1699
16,PL0_5750_0001,1661050,18.5,18.55,-0.2935
17,PL1_4460_4780,1648000,62.2,62.4,-0.3146
18,PL1_4540_0001,1649500,72.8,75.04,-3.0764
19,PL2_5300_5630,1660920,79.9,80.21,-0.3905
20,PM1_3510_4000,1637500,66.9,67.16,-0.3946
21,PM1_4250_4500,1645000,101,101.83,-0.8238
22,PM1_4430_4200,1638480,89.5,92.56,-3.4222
23,PS0_6150_6160,1621410,10.9,11.38,-4.3899
24,PS2_6730_6660,1626000,127,127.32,-0.2543
25,PS3_6460_6230,1625000,373,374.71,-0.4582
26,PU1_3100_3690,1610155,102,104.47,-2.4177
27,PU1_3850_4190,1596500,49.1,48.52,1.1723
28,PU2_4720_4750,1595000,73.1,73.17,-0.0997
29,PU2_4730_4220,1615000,58.2,58.41,-0.3557
30,RL5_6320_0000,1669000,27.9,27.09,2.9179
31,WM1_3910_0001,1589300,32.5,32.43,0.2025
32,XL0_5320_0001,1594670,9.38,9.28,1.0821
33,XL1_4690_0001,1594526,89.7,93.03,-3.7153
34,YP1_6570_6680,1671100,107,106.75,0.2355
35,JA1_7600_7570,2041000,158,157.944,0.0354
36,JL1_6760_6910,2030000,116,115.679,0.2767
