"","segment","gage","gageDA","segDA","error"
"2","EL1_5430_0001",1485500,44.9,45.38090134,-1.07104975501114
"3","EL2_4400_4590",1488500,46.8,47.55039978,-1.60341833333334
"5","EM2_3980_0001",1491000,113,114.1869965,-1.05043938053098
"6","EU0_3830_0001",1493000,19.7,20.07729912,-1.91522395939086
"7","EU1_2650_0001",1495000,51.6,53.21080017,-3.12170575581395
"8","JA2_7550_7280",2039500,302,312.8129883,-3.58045970198675
"13","JB3_6820_7053",2042500,251,251.2400055,-0.0956197211155359
"14","JL1_6560_6440",2031000,95.3,95.35289764,-0.0555064428121696
"18","JL2_6240_6520",2032680,174,177.1869965,-1.83160718390804
"30","JU1_6300_6650",2015700,110,110.4039993,-0.367272090909087
"34","JU1_7630_7490",2017500,105,105.1460037,-0.139051142857137
"35","JU2_6410_6640",2020500,141,141.5220032,-0.370215035460993
"37","JU2_7140_7330",2013000,162,169.0599976,-4.35802320987654
"39","JU3_6380_6900",2011400,157,158.5679932,-0.998721783439484
"49","PL0_5010_5130",1654000,23.9,23.94059944,-0.169872133891218
"53","PL0_5750_0001",1661050,18.5,18.55430031,-0.293515189189182
"55","PL1_4460_4780",1648000,62.2,62.39569855,-0.314627893890669
"56","PL1_4540_0001",1649500,72.8,75.03959656,-3.07636890109891
"59","PL2_5300_5630",1660920,79.9,80.21199799,-0.39048559449311
"64","PM1_3510_4000",1637500,66.9,67.16400146,-0.394621016442434
"65","PM1_4250_4500",1645000,101,101.8320007,-0.823763069306925
"66","PM1_4430_4200",1638480,89.5,92.56289673,-3.42223098324023
"76","PS0_6150_6160",1621410,10.9,11.37849998,-4.3899080733945
"81","PS2_6730_6660",1626000,127,127.322998,-0.254329133858266
"85","PS3_6460_6230",1625000,373,374.7090149,-0.458180938337802
"91","PU1_3100_3690",1610155,102,104.4660034,-2.41765039215687
"92","PU1_3850_4190",1596500,49.1,48.5243988,1.17230386965377
"98","PU2_4720_4750",1595000,73.1,73.17289734,-0.099722763337909
"99","PU2_4730_4220",1615000,58.2,58.4070015,-0.355672680412366
"117","RL5_6320_0000",1669000,27.9,27.08589935,2.91792347670251
"123","WM1_3910_0001",1589300,32.5,32.43420029,0.202460646153847
"128","XL0_5320_0001",1594670,9.38,9.278499603,1.08209378464819
"129","XL1_4690_0001",1594526,89.7,93.0326004,-3.71527357859532
"138","YP1_6570_6680",1671100,107,106.7480011,0.235512990654209
