"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.05,0,-100
"Med. 1 Day Min",1.6,3.24,102
"Min. 3 Day Min",0.0633,-8.19e-14,-100
"Med. 3 Day Min",1.63,3.5,115
"Min. 7 Day Min",0.139,0.0708,-49.1
"Med. 7 Day Min",1.89,4.19,122
"Min. 30 Day Min",0.368,0.676,83.7
"Med. 30 Day Min",7.08,8.55,20.8
"Min. 90 Day Min",2.02,5.49,172
"Med. 90 Day Min",16.6,21.2,27.7
"7Q10",0.334,0.436,30.5
"Year of 90-Day Low Flow",1999,2002,100
"Drought Year Mean",31.6955342465753,55.2631726021754,74.4
"Mean Baseflow",41.3,43.6,5.57
