"index","DEP","IVOL","O1","O2","O3","OVOL1","OVOL2","OVOL3","PRSUPY","RO","ROVOL","SAREA","TAU","USTAR","VOL","VOLEV","date","hour","day","month","year","Qout","wd_mgd","demand_mgd","Qbaseline","wd_imp_child_mgd","wd_cumulative_mgd","ps_nextdown_mgd"
"1984-10-01 11:30:00","0.94841907","11.09163787","0","0","112.5643539","0","0","9.21899861","0.5794587","112.5643539","9.21899861","188.6432","0.20210805","0.32224975","168.4845117","0.030697906","1984-10-01","11.5","1","10","1984","111.5498832","0",NA,NA,"0","0","0"
"1984-10-02 11:30:00","0.75965814","4.81969291","0","0","77.8995829","0","0","6.49707659","0","77.8995829","6.49707659","184.20555","0.16452763","0.29116292","133.174516","0.029326178","1984-10-02","11.5","2","10","1984","78.6146267","0",NA,NA,"0","0","0"
"1984-10-03 11:30:00","0.61766944","4.01002965","0","0","56.180257","0","0","4.66685843","0","56.180257","4.66685843","180.86973","0.1354635","0.26433799","107.2540178","0.032328593","1984-10-03","11.5","3","10","1984","56.4689871","0",NA,NA,"0","0","0"
"1984-10-04 11:30:00","0.55254845","3.52213785","0","0","46.3613416","0","0","3.84392936","0","46.3613416","3.84392936","179.33981","0.1218953","0.25078222","95.535828","0.036723782","1984-10-04","11.5","4","10","1984","46.5115453","0",NA,NA,"0","0","0"
"1984-10-05 11:30:00","0.51444051","3.17347196","0","0","40.655829","0","0","3.36805191","0","40.655829","3.36805191","178.44452","0.1138845","0.24241016","88.7266967","0.03837581","1984-10-05","11.5","5","10","1984","40.7534281","0",NA,NA,"0","0","0"
"1984-10-06 11:30:00","0.48757295","2.89415734","0","0","36.6507737","0","0","3.0350578","0","36.6507737","3.0350578","177.8133","0.10820502","0.23629147","83.9469433","0.034356303","1984-10-06","11.5","6","10","1984","36.7241994","0",NA,NA,"0","0","0"
"1984-10-07 11:30:00","0.46647585","2.65394772","0","0","33.5215933","0","0","2.77485342","0.0001675848","33.5215933","2.77485342","176.98664","0.1037182","0.23134261","80.0529509","0.036727453","1984-10-07","11.5","7","10","1984","33.5757264","0",NA,NA,"0","0","0"
"1984-10-08 11:30:00","0.45201041","2.43782892","0","0","31.4550386","0","0","2.60297052","0.003155137","31.4550386","2.60297052","173.02919","0.10054377","0.22777604","75.8638344","0.035322585","1984-10-08","11.5","8","10","1984","31.4959433","0",NA,NA,"0","0","0"
"1984-10-09 11:30:00","0.43680608","2.24409435","0","0","29.3758403","0","0","2.43152548","0.008190634","29.3758403","2.43152548","167.20899","0.09716177","0.22391115","70.8491863","0.040803923","1984-10-09","11.5","9","10","1984","29.4214583","0",NA,NA,"0","0","0"
"1984-10-10 11:30:00","0.41977981","2.06468524","0","0","27.1309422","0","0","2.24602317","0.0004252604","27.1309422","2.24602317","160.69135","0.0933745","0.2195033","65.434899","0.040677477","1984-10-10","11.5","10","10","1984","27.1768803","0",NA,NA,"0","0","0"
