"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",2590,496,541,819,882,1180,1850,1360,1210,803,710,663,567,3460,3850,4850,4220,3330,2200,1170,993,1500,1110,2160,2370,321,496,326,504,333,512,373,578,505,881,415,1999,439,509,1320,8830,18700,560,1300,983,3860,9050,10500,7280,12400,12100,7660,2500,2280,1370,1370,102000,32300,60000,22700,33000,15800,16400,7310,9140,4630,1193.91780821918
"Model",2440,472,622,1090,1320,1810,2080,1330,1010,703,418,408,356,3130,4060,4570,3530,2750,1980,1040,924,1710,1310,2160,2240,145,288,147,297,151,317,167,430,380,743,197,1999,224,321,1470,7530,16800,295,1400,1120,3910,3670,7240,6890,13900,9370,6220,2940,1830,1410,1310,135000,23500,66800,18200,33900,12400,12300,6450,8520,4340,1469.58941849044
"Pct. Error",-5.79,-4.84,15,33.1,49.7,53.4,12.4,-2.21,-16.5,-12.5,-41.1,-38.5,-37.2,-9.54,5.45,-5.77,-16.4,-17.4,-10,-11.1,-6.95,14,18,0,-5.49,-54.8,-41.9,-54.9,-41.1,-54.7,-38.1,-55.2,-25.6,-24.8,-15.7,-52.5,0,-49,-36.9,11.4,-14.7,-10.2,-47.3,7.69,13.9,1.3,-59.4,-31,-5.36,12.1,-22.6,-18.8,17.6,-19.7,2.92,-4.38,32.4,-27.2,11.3,-19.8,2.73,-21.5,-25,-11.8,-6.78,-6.26,23.1
