"","Model"
"Overall Mean Flow",174
"Jan. Mean Flow",251
"Feb. Mean Flow",346
"Mar. Mean Flow",319
"Apr. Mean Flow",230
"May Mean Flow",176
"Jun. Mean Flow",128
"Jul. Mean Flow",87.9
"Aug. Mean Flow",83.1
"Sep. Mean Flow",81
"Oct. Mean Flow",85.4
"Nov. Mean Flow",120
"Dec. Mean Flow",187
