"","Model"
"Overall Mean Flow",131
"Jan. Mean Flow",177
"Feb. Mean Flow",231
"Mar. Mean Flow",289
"Apr. Mean Flow",201
"May Mean Flow",117
"Jun. Mean Flow",74.4
"Jul. Mean Flow",37.6
"Aug. Mean Flow",55.1
"Sep. Mean Flow",113
"Oct. Mean Flow",63.7
"Nov. Mean Flow",103
"Dec. Mean Flow",120
