"","Model"
"Jan. Low Flow",86.8
"Feb. Low Flow",178
"Mar. Low Flow",250
"Apr. Low Flow",396
"May Low Flow",491
"Jun. Low Flow",586
"Jul. Low Flow",398
"Aug. Low Flow",245
"Sep. Low Flow",193
"Oct. Low Flow",116
"Nov. Low Flow",122
"Dec. Low Flow",83.5
