"","Model"
"Jan. Low Flow",31.1
"Feb. Low Flow",73.8
"Mar. Low Flow",97.6
"Apr. Low Flow",153
"May Low Flow",199
"Jun. Low Flow",260
"Jul. Low Flow",173
"Aug. Low Flow",94.1
"Sep. Low Flow",42.4
"Oct. Low Flow",18.6
"Nov. Low Flow",25
"Dec. Low Flow",19.7
