"","area_sqmi","wd_upstream_mgd","ps_upstream_mgd","Qreach","Qlake","imp_off","wd_mgd","ps_mgd","ps_trib_mgd","wd_trib_mgd","name","description","componentid","subshedid","dt","month","day","year","thisdate","time","timestamp","run_mode","season","ps_cumulative_mgd","wd_cumulative_mgd","flow_mode","week","Listen.on.Parent","Send.to.Children","Send.to.Parent","Listen.to.Children","Qout"
"1",NA,"0.000000000","0.1973723","   0.000000","   0.000000","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 1","1984","1984-01-01",NA,"1984-01-01","2",NA,"0.1973723","0.000000000","0","52","0","0","0","0","   0.000000"
"2",NA,"0.000000000","0.1973723","   6.103195","   0.000000","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 2","1984","1984-01-02",NA,"1984-01-02","2",NA,"0.1973723","0.000000000","0"," 1","0","0","0","0","   6.103195"
"3",NA,"0.000000000","0.1973723","  41.979309","   0.000000","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 3","1984","1984-01-03",NA,"1984-01-03","2",NA,"0.1973723","0.000000000","0"," 1","0","0","0","0","  41.979309"
"4",NA,"0.000000000","0.1973723"," 126.347283","   0.000000","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 4","1984","1984-01-04",NA,"1984-01-04","2",NA,"0.1973723","0.000000000","0"," 1","0","0","0","0"," 126.347283"
"5",NA,"0.000000000","0.1973723"," 202.513444","   0.000000","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 5","1984","1984-01-05",NA,"1984-01-05","2",NA,"0.1973723","0.000000000","0"," 1","0","0","0","0"," 202.513444"
"6",NA,"0.000000000","0.1973723"," 224.001981","   0.000000","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 6","1984","1984-01-06",NA,"1984-01-06","2",NA,"0.1973723","0.000000000","0"," 1","0","0","0","0"," 224.001981"
"7",NA,"0.000000000","0.1973723"," 221.195093"," 147.195211","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 7","1984","1984-01-07",NA,"1984-01-07","2",NA,"0.1973723","0.000000000","0"," 1","0","0","0","0"," 221.195093"
"8",NA,"0.000000000","0.1973723"," 208.549728"," 221.195093","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 8","1984","1984-01-08",NA,"1984-01-08","2",NA,"0.1973723","0.000000000","0"," 1","0","0","0","0"," 208.549728"
"9",NA,"0.000000000","0.1973723"," 205.071861"," 208.549728","1","0","0","0","0",NA,NA,"0",NA,NA," 1"," 9","1984","1984-01-09",NA,"1984-01-09","2",NA,"0.1973723","0.000000000","0"," 2","0","0","0","0"," 205.071861"
"10",NA,"0.000000000","0.1973723"," 198.236205"," 205.071861","1","0","0","0","0",NA,NA,"0",NA,NA," 1","10","1984","1984-01-10",NA,"1984-01-10","2",NA,"0.1973723","0.000000000","0"," 2","0","0","0","0"," 198.236205"
