"","Model"
"Min. 1 Day Min",1.26
"Med. 1 Day Min",22.2
"Min. 3 Day Min",2.07
"Med. 3 Day Min",23.9
"Min. 7 Day Min",3.28
"Med. 7 Day Min",29.3
"Min. 30 Day Min",13.6
"Med. 30 Day Min",50.1
"Min. 90 Day Min",44.2
"Med. 90 Day Min",94.3
"7Q10",6.09
"Year of 90-Day Low Flow",1999
"Drought Year Mean",188.642554428378
"Mean Baseflow",145
