"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",90.7,2.8,7.5,16,26,33,36.8,32,12.5,3.65,1.85,1.23,0.78,146,150,186,114,86.9,50.8,30.7,31.9,50.2,41.2,82.6,123,0,0.3,-8.9e-16,0.52,0.0114,0.659,0.353,3.02,1.46,16.2,0.0293,1985,0.07,0.82,29.2,360,1070,0.15,23.8,125,679,635,821,400,718,404,285,153,156,124,179,4760,1620,2320,822,1180,459,644,234,414,137,46.6118075801749
"Model",94,3.64,15.8,26.3,40.8,51,41.5,25.9,13.1,6.28,1.86,1.46,1.18,139,156,185,112,73.6,47.4,39.8,37.7,82.5,52.9,90.2,117,0.0767,0.883,0.0831,1,0.104,1.12,1.21,3.74,3.63,22.5,0.258,1999,0.362,1.23,40.2,313,990,0.841,33,139,502,601,418,354,848,433,273,124,86,76.9,90.9,5640,1710,2290,837,1600,464,570,207,409,129,45.6580090101869
"Pct. Error",3.64,30,111,64.4,56.9,54.5,12.8,-19.1,4.8,72.1,0.541,18.7,51.3,-4.79,4,-0.538,-1.75,-15.3,-6.69,29.6,18.2,64.3,28.4,9.2,-4.88,Inf,194,-9.34e+15,92.3,812,70,243,23.8,149,38.9,781,100,417,50,37.7,-13.1,-7.48,461,38.7,11.2,-26.1,-5.35,-49.1,-11.5,18.1,7.18,-4.21,-19,-44.9,-38,-49.2,18.5,5.56,-1.29,1.82,35.6,1.09,-11.5,-11.5,-1.21,-5.84,-2.05
