"","Model"
"Overall Mean Flow",117
"Jan. Mean Flow",163
"Feb. Mean Flow",194
"Mar. Mean Flow",241
"Apr. Mean Flow",165
"May Mean Flow",100
"Jun. Mean Flow",53.3
"Jul. Mean Flow",37.4
"Aug. Mean Flow",72.3
"Sep. Mean Flow",128
"Oct. Mean Flow",57.5
"Nov. Mean Flow",85.7
"Dec. Mean Flow",111
