"","Model"
"Min. 1 Day Min",71.1
"Med. 1 Day Min",219
"Min. 3 Day Min",73.1
"Med. 3 Day Min",222
"Min. 7 Day Min",77.1
"Med. 7 Day Min",235
"Min. 30 Day Min",84.5
"Med. 30 Day Min",312
"Min. 90 Day Min",165
"Med. 90 Day Min",434
"7Q10",120
"Year of 90-Day Low Flow",2002
"Drought Year Mean",332.141168340849
"Mean Baseflow",760
