"","Model"
"Overall Mean Flow",2540
"Jan. Mean Flow",3180
"Feb. Mean Flow",3820
"Mar. Mean Flow",4580
"Apr. Mean Flow",3840
"May Mean Flow",2630
"Jun. Mean Flow",2210
"Jul. Mean Flow",1370
"Aug. Mean Flow",1190
"Sep. Mean Flow",2010
"Oct. Mean Flow",1610
"Nov. Mean Flow",1920
"Dec. Mean Flow",2250
