"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",323,44,53,87,115,177,261,213,132,91,58,51,43,440,557,641,528,450,276,132,115,137,125,198,296,25,40,27.1,40.7,28.5,41.3,33.5,47.7,39.3,71.1,31.4,1988,34,42,154,1070,2430,38,156,94,352,1070,1430,1350,2100,1150,1310,426,175,143,126,14100,4560,6450,3130,3960,1920,1890,903,1210,653,135.439890710383
"Model",354,34.1,86.5,134,190,276,324,224,132,79.3,35.7,42.5,36.7,483,645,656,500,409,303,172,152,186,186,239,335,1.57,10.7,1.72,11.2,2.15,12.7,6.82,29.8,23.1,73,4.87,1988,9.47,22.8,217,1100,2460,17.9,194,134,374,574,1530,1290,1560,1070,968,682,244,177,178,7840,4000,4920,2610,2810,1860,1720,877,1180,647,117.314033486176
"Pct. Error",9.6,-22.5,63.2,54,65.2,55.9,24.1,5.16,0,-12.9,-38.4,-16.7,-14.7,9.77,15.8,2.34,-5.3,-9.11,9.78,30.3,32.2,35.8,48.8,20.7,13.2,-93.7,-73.2,-93.7,-72.5,-92.5,-69.2,-79.6,-37.5,-41.2,2.67,-84.5,0,-72.1,-45.7,40.9,2.8,1.23,-52.9,24.4,42.6,6.25,-46.4,6.99,-4.44,-25.7,-6.96,-26.1,60.1,39.4,23.8,41.3,-44.4,-12.3,-23.7,-16.6,-29,-3.12,-8.99,-2.88,-2.48,-0.919,-13.4
