"","Model"
"1% Non-Exceedance",5.24
"5% Non-Exceedance",9.36
"50% Non-Exceedance",49
"95% Non-Exceedance",307
"99% Non-Exceedance",947
"Sept. 10% Non-Exceedance",8.84
