"","Model"
"Jan. High Flow",86.8
"Feb. High Flow",328
"Mar. High Flow",273
"Apr. High Flow",461
"May High Flow",416
"Jun. High Flow",847
"Jul. High Flow",415
"Aug. High Flow",179
"Sep. High Flow",73.3
"Oct. High Flow",92.1
"Nov. High Flow",67.7
"Dec. High Flow",53.9
