"","Model"
"Min. 1 Day Min",56.5
"Med. 1 Day Min",116
"Min. 3 Day Min",58
"Med. 3 Day Min",119
"Min. 7 Day Min",61.1
"Med. 7 Day Min",126
"Min. 30 Day Min",75.9
"Med. 30 Day Min",164
"Min. 90 Day Min",137
"Med. 90 Day Min",230
"7Q10",82.1
"Year of 90-Day Low Flow",1988
"Drought Year Mean",241.405199505903
"Mean Baseflow",347
