"","name","description","componentid","subshedid","dt","month","day","year","thisdate","time","timestamp","run_mode","season","area_sqmi","wd_upstream_mgd","ps_upstream_mgd","Qreach","Qlake","imp_off","wd_mgd","ps_mgd","ps_trib_mgd","wd_trib_mgd","Qup","ps_cumulative_mgd","wd_cumulative_mgd","flow_mode","week","Listen.on.Parent","Send.to.Children","Send.to.Parent","Listen.to.Children","Qout"
"1",NA,NA,"0",NA,NA," 1"," 1","1984","1984-01-01",NA,"1984-01-01","2",NA,"255.3879","0","0","   0.000000","   0.000000","1","0.000000e+00","0.1973723","0","0","   0.0000000","0.1973723","0.000000000","0","52","0","0","0","0","   0.000000"
"2",NA,NA,"0",NA,NA," 1"," 2","1984","1984-01-02",NA,"1984-01-02","2",NA,"255.3879","0","0","  40.896664","   0.000000","1","3.662222e-05","0.1973723","0","0","  33.1037758","0.1973723","0.000000000","0"," 1","0","0","0","0","  40.896664"
"3",NA,NA,"0",NA,NA," 1"," 3","1984","1984-01-03",NA,"1984-01-03","2",NA,"255.3879","0","0"," 138.681012","   0.000000","1","3.544086e-05","0.1973723","0","0","  97.0248559","0.1973723","0.000000000","0"," 1","0","0","0","0"," 138.681012"
"4",NA,NA,"0",NA,NA," 1"," 4","1984","1984-01-04",NA,"1984-01-04","2",NA,"255.3879","0","0"," 185.616997","   0.000000","1","3.544086e-05","0.1973723","0","0","  91.2350843","0.1973723","0.000000000","0"," 1","0","0","0","0"," 185.616997"
"5",NA,NA,"0",NA,NA," 1"," 5","1984","1984-01-05",NA,"1984-01-05","2",NA,"255.3879","0","0"," 208.214331","   0.000000","1","3.544086e-05","0.1973723","0","0","  88.3269835","0.1973723","0.000000000","0"," 1","0","0","0","0"," 208.214331"
"6",NA,NA,"0",NA,NA," 1"," 6","1984","1984-01-06",NA,"1984-01-06","2",NA,"255.3879","0","0"," 194.274052"," 119.659005","1","3.544086e-05","0.1973723","0","0","  85.2092455","0.1973723","0.000000000","0"," 1","0","0","0","0"," 194.274052"
"7",NA,NA,"0",NA,NA," 1"," 7","1984","1984-01-07",NA,"1984-01-07","2",NA,"255.3879","0","0"," 189.503951"," 194.274052","1","3.544086e-05","0.1973723","0","0","  82.2388999","0.1973723","0.000000000","0"," 1","0","0","0","0"," 189.503951"
"8",NA,NA,"0",NA,NA," 1"," 8","1984","1984-01-08",NA,"1984-01-08","2",NA,"255.3879","0","0"," 183.855466"," 189.503951","1","3.544086e-05","0.1973723","0","0","  79.6361364","0.1973723","0.000000000","0"," 1","0","0","0","0"," 183.855466"
"9",NA,NA,"0",NA,NA," 1"," 9","1984","1984-01-09",NA,"1984-01-09","2",NA,"255.3879","0","0"," 178.917146"," 183.855466","1","3.544086e-05","0.1973723","0","0","  77.2096132","0.1973723","0.000000000","0"," 2","0","0","0","0"," 178.917146"
"10",NA,NA,"0",NA,NA," 1","10","1984","1984-01-10",NA,"1984-01-10","2",NA,"255.3879","0","0"," 172.860062"," 178.917146","1","3.544086e-05","0.1973723","0","0","  74.5361572","0.1973723","0.000000000","0"," 2","0","0","0","0"," 172.860062"
