"","Model"
"Jan. Low Flow",22.1
"Feb. Low Flow",22.7
"Mar. Low Flow",49.9
"Apr. Low Flow",52.8
"May Low Flow",94.7
"Jun. Low Flow",107
"Jul. Low Flow",81.5
"Aug. Low Flow",67.5
"Sep. Low Flow",52.6
"Oct. Low Flow",32.4
"Nov. Low Flow",24.8
"Dec. Low Flow",21.9
