"","Model"
"1% Non-Exceedance",9.79
"5% Non-Exceedance",16.3
"50% Non-Exceedance",69.3
"95% Non-Exceedance",314
"99% Non-Exceedance",791
"Sept. 10% Non-Exceedance",14.9
