"","Model"
"Overall Mean Flow",275
"Jan. Mean Flow",364
"Feb. Mean Flow",486
"Mar. Mean Flow",500
"Apr. Mean Flow",371
"May Mean Flow",272
"Jun. Mean Flow",215
"Jul. Mean Flow",158
"Aug. Mean Flow",156
"Sep. Mean Flow",138
"Oct. Mean Flow",146
"Nov. Mean Flow",215
"Dec. Mean Flow",292
