"","Model"
"Jan. High Flow",96.1
"Feb. High Flow",494
"Mar. High Flow",397
"Apr. High Flow",455
"May High Flow",977
"Jun. High Flow",725
"Jul. High Flow",561
"Aug. High Flow",665
"Sep. High Flow",143
"Oct. High Flow",107
"Nov. High Flow",128
"Dec. High Flow",80.8
