"","Model"
"Overall Mean Flow",142
"Jan. Mean Flow",200
"Feb. Mean Flow",295
"Mar. Mean Flow",256
"Apr. Mean Flow",186
"May Mean Flow",143
"Jun. Mean Flow",97.1
"Jul. Mean Flow",62
"Aug. Mean Flow",60.3
"Sep. Mean Flow",56.6
"Oct. Mean Flow",74.7
"Nov. Mean Flow",108
"Dec. Mean Flow",170
