"","Model"
"Min. 1 Day Min",0.53
"Med. 1 Day Min",6.62
"Min. 3 Day Min",0.799
"Med. 3 Day Min",7.23
"Min. 7 Day Min",1.45
"Med. 7 Day Min",8.48
"Min. 30 Day Min",5.94
"Med. 30 Day Min",17.3
"Min. 90 Day Min",11.4
"Med. 90 Day Min",34.3
"7Q10",2.57
"Year of 90-Day Low Flow",1988
"Drought Year Mean",48.3050391842733
"Mean Baseflow",61.4
