"","Model"
"Jan. High Flow",299
"Feb. High Flow",1270
"Mar. High Flow",1180
"Apr. High Flow",1360
"May High Flow",2850
"Jun. High Flow",1770
"Jul. High Flow",1370
"Aug. High Flow",1470
"Sep. High Flow",525
"Oct. High Flow",394
"Nov. High Flow",519
"Dec. High Flow",247
