"","Model"
"Min. 1 Day Min",1.6
"Med. 1 Day Min",15.5
"Min. 3 Day Min",2.15
"Med. 3 Day Min",16.6
"Min. 7 Day Min",3.52
"Med. 7 Day Min",20.2
"Min. 30 Day Min",13.4
"Med. 30 Day Min",42.9
"Min. 90 Day Min",25.3
"Med. 90 Day Min",100
"7Q10",6.66
"Year of 90-Day Low Flow",1988
"Drought Year Mean",141.037616180834
"Mean Baseflow",185
