"","USGS Gage","Model","Pct. Error"
"Overall Mean Flow",1700,1710,0.588
"Jan. Mean Flow",2190,1910,-12.8
"Feb. Mean Flow",2210,2430,9.95
"Mar. Mean Flow",2810,2930,4.27
"Apr. Mean Flow",2510,2420,-3.59
"May Mean Flow",1890,1850,-2.12
"Jun. Mean Flow",1350,1430,5.93
"Jul. Mean Flow",856,1050,22.7
"Aug. Mean Flow",807,877,8.67
"Sep. Mean Flow",1650,1660,0.606
"Oct. Mean Flow",1000,1060,6
"Nov. Mean Flow",1610,1530,-4.97
"Dec. Mean Flow",1580,1440,-8.86
