"","Model"
"Overall Mean Flow",101
"Jan. Mean Flow",128
"Feb. Mean Flow",159
"Mar. Mean Flow",198
"Apr. Mean Flow",141
"May Mean Flow",107
"Jun. Mean Flow",72.2
"Jul. Mean Flow",44.3
"Aug. Mean Flow",39.6
"Sep. Mean Flow",88
"Oct. Mean Flow",58.3
"Nov. Mean Flow",90.4
"Dec. Mean Flow",94
