"","Model"
"Min. 1 Day Min",2.29
"Med. 1 Day Min",9.66
"Min. 3 Day Min",2.38
"Med. 3 Day Min",9.84
"Min. 7 Day Min",2.54
"Med. 7 Day Min",10.5
"Min. 30 Day Min",3.11
"Med. 30 Day Min",12.2
"Min. 90 Day Min",9.03
"Med. 90 Day Min",23.7
"7Q10",3.43
"Year of 90-Day Low Flow",1986
"Drought Year Mean",62.5265168196831
"Mean Baseflow",55.5
