"","Model"
"1% Non-Exceedance",4.23
"5% Non-Exceedance",9.74
"50% Non-Exceedance",56.6
"95% Non-Exceedance",299
"99% Non-Exceedance",829
"Sept. 10% Non-Exceedance",9.66
