"","Model"
"Overall Mean Flow",2770
"Jan. Mean Flow",3250
"Feb. Mean Flow",3850
"Mar. Mean Flow",5230
"Apr. Mean Flow",4280
"May Mean Flow",2870
"Jun. Mean Flow",2450
"Jul. Mean Flow",1520
"Aug. Mean Flow",1570
"Sep. Mean Flow",2170
"Oct. Mean Flow",1900
"Nov. Mean Flow",1860
"Dec. Mean Flow",2340
