"","RIVSEG","NA"
"1","JA1_7600_7570",1
"2","JA1_7640_7280",1
"3","JA2_7410_7470",1
"4","JA2_7550_7280",1
"5","JA2_7570_7480",1
"6","JA4_7280_7340",2
"7","JA4_7340_7470",2
"8","JA4_7470_7480",3
"9","JA5_7480_0001",4
