"","RIVSEG","NA"
"1","WU0_3021_3020",1
"2","WU1_3350_3490",1
"3","WU1_3490_3480",1
"4","WU2_3020_3320",1
"5","WU2_3320_3480",1
"6","WU3_3480_3481",2
"7","WU3_3481_0001",2
