"","Model"
"Jan. Low Flow",21.7
"Feb. Low Flow",35.8
"Mar. Low Flow",67.6
"Apr. Low Flow",81.3
"May Low Flow",104
"Jun. Low Flow",105
"Jul. Low Flow",64.3
"Aug. Low Flow",52.1
"Sep. Low Flow",48.8
"Oct. Low Flow",32.7
"Nov. Low Flow",30.7
"Dec. Low Flow",25.8
