"","Model"
"Jan. Low Flow",15.1
"Feb. Low Flow",54.9
"Mar. Low Flow",92.8
"Apr. Low Flow",150
"May Low Flow",225
"Jun. Low Flow",184
"Jul. Low Flow",176
"Aug. Low Flow",13
"Sep. Low Flow",32
"Oct. Low Flow",18.4
"Nov. Low Flow",13
"Dec. Low Flow",13
