"","Model"
"Jan. Low Flow",52.1
"Feb. Low Flow",88.8
"Mar. Low Flow",117
"Apr. Low Flow",144
"May Low Flow",184
"Jun. Low Flow",222
"Jul. Low Flow",163
"Aug. Low Flow",114
"Sep. Low Flow",93.4
"Oct. Low Flow",65.9
"Nov. Low Flow",65.2
"Dec. Low Flow",48.2
