"","Model"
"Overall Mean Flow",269
"Jan. Mean Flow",427
"Feb. Mean Flow",458
"Mar. Mean Flow",602
"Apr. Mean Flow",453
"May Mean Flow",178
"Jun. Mean Flow",179
"Jul. Mean Flow",92.3
"Aug. Mean Flow",86.6
"Sep. Mean Flow",208
"Oct. Mean Flow",166
"Nov. Mean Flow",164
"Dec. Mean Flow",231
