"","Model"
"Jan. High Flow",123
"Feb. High Flow",310
"Mar. High Flow",428
"Apr. High Flow",748
"May High Flow",814
"Jun. High Flow",1170
"Jul. High Flow",1040
"Aug. High Flow",328
"Sep. High Flow",121
"Oct. High Flow",84.7
"Nov. High Flow",186
"Dec. High Flow",130
