"","Overall.Mean.Flow","Jan..Low.Flow","Feb..Low.Flow","Mar..Low.Flow","Apr..Low.Flow","May.Low.Flow","Jun..Low.Flow","Jul..Low.Flow","Aug..Low.Flow","Sep..Low.Flow","Oct..Low.Flow","Nov..Low.Flow","Dec..Low.Flow","Jan..Mean.Flow","Feb..Mean.Flow","Mar..Mean.Flow","Apr..Mean.Flow","May.Mean.Flow","Jun..Mean.Flow","Jul..Mean.Flow","Aug..Mean.Flow","Sep..Mean.Flow","Oct..Mean.Flow","Nov..Mean.Flow","Dec..Mean.Flow","Min..1.Day.Min","Med..1.Day.Min.","Min..3.Day.Min","Med..3.Day.Min.","Min..7.Day.Min","Med..7.Day.Min.","Min..30.Day.Min","Med..30.Day.Min.","Min..90.Day.Min","Med..90.Day.Min.","X7Q10","Year.of.90.Day.Low.Flow","X1..Non.Exceedance","X5..Non.Exceedance","X50..Non.Exceedance","X95..Non.Exceedance","X99..Non.Exceedance","Sept..10..Non.Exceedance","Mean.Baseflow","Jan..High.Flow","Feb..High.Flow","Mar..High.Flow","Apr..High.Flow","May.High.Flow","Jun..High.Flow","Jul..High.Flow","Aug..High.Flow","Sep..High.Flow","Oct..High.Flow","Nov..High.Flow","Dec..High.Flow","Max..1.Day.Max","Med..1.Day.Max.","Max..3.Day.Max","Med..3.Day.Max.","Max..7.Day.Max","Med..7.Day.Max.","Max..30.Day.Max","Med..30.Day.Max.","Max..90.Day.Max","Med..90.Day.Max.","Drought.Year.Mean"
"JA2_7550_7280",298,67,108,130,142,194,195,164,122,87,62,57.5,60,402,441,539,392,306,203,153,152,228,153,305,313,0.07,49,0.07,51.3,0.0857,52.3,5.04,68.6,17,103,6.82,2002,18.4,45.2,168,903,2690,37,144,310,869,936,1230,1430,1650,1180,755,368,279,446,234,14800,4490,7900,2700,4020,1510,1780,728,1220,541,298
"JB3_6820_7053",269,10,64,87,145,181,163,134,75,17,8.7,15,6.6,350,405,456,404,245,158,125,192,275,134,211,284,0.05,3.65,0.06,3.73,0.0729,4.39,0.165,14.6,2.83,57.7,0.239,2002,0.22,5.51,169,889,1630,3.6,130,192,222,456,639,713,924,1010,544,325,339,244,236,14700,1710,9470,1550,5250,1240,1940,734,1080,448,269
"JL1_6560_6440",107,21,36,47,54,75,79,77.5,55,31,27,17,15,139,138,159,146,118,90.7,63.2,41.7,105,62.3,116,113,0,12,6.12e-14,12.3,1e-14,13.1,0.0313,18.5,0.831,36.3,0.00000236,2002,1.12,12,66,303,803,9.98,56.4,95,267,275,380,244,392,230,194,220,126,79,65,7400,1930,3430,872,1920,656,652,298,398,186,107
"JL2_6240_6520",190,23.5,57.5,89.5,97,118,112,98,85,40.5,32.5,24,20.5,217,205,235,300,271,147,96.9,70.5,147,169,229,197,6,15.5,6.67,16.2,8.21,17.6,11.7,23.5,30.8,62.4,8.57,1986,12,19,112,550,1650,16,85.1,142,335,744,611,456,926,592,486,322,288,118,150,7990,4880,5770,2640,2990,1520,1080,593,472,379,190
"JU1_6300_6650",160,35,43,56,62,74,101,93,81,49,39,39,34,200,197,288,239,220,135,69.4,65.8,104,70.5,162,169,22,31,22.1,32,22.3,33,25.4,36.6,31.1,50,26.4,1999,27.9,32.9,88,492,1220,31,79,94,538,752,520,300,686,421,716,258,163,120,104,8700,2290,5720,1450,2750,875,808,481,474,293,160
"JU1_7630_7490",133,14,24,54,48,106,78,62,38,14,12,11,11,130,226,257,326,131,39,21.2,61.9,41.7,20.1,195,165,9.2,9.6,9.37,9.83,10.3,10.4,11.1,14.9,21.9,23.4,10.3,1987,10,12,60,453,1180,12,53.6,34,268,678,686,511,1480,196,443,112,51,61,273,3580,3240,2340,2310,1390,1250,828,478,493,216,133
"JU2_6410_6640",179,6.64,18,45.1,48,62,86,70,46,16.8,12,8.9,6.4,255,228,340,284,234,130,50.5,55.3,127,60.5,199,194,0.41,5.6,0.43,5.93,0.666,6.46,1.66,8.42,5.39,31.1,1.96,1999,3,5.6,68,709,1640,5,56.5,53,697,1120,1220,581,1290,758,983,147,81,69.3,35.5,21900,2830,11900,1940,5540,1320,1590,589,656,341,179
"JU2_7140_7330",178,19,27,40,56,70,120,90,53,28.3,22,19,17,253,316,382,281,245,122,52.5,39.9,75.7,60,145,177,8.9,15,8.93,15.3,9.14,15.7,11,18.5,15.4,34,11.8,1999,12.9,16,72,621,1770,15,68.3,42,273,843,1130,912,1600,655,629,165,133,90,85,10400,3360,4630,2080,2270,1200,1120,522,676,347,178
"JU3_6380_6900",168,25,32,46,65,75,116,100,87,45,33,30,25,226,230,337,275,233,136,67.1,52.8,80,59.1,153,168,12.7,21,12.8,21.6,13.1,23.2,15.5,26.4,20.8,46.2,16.3,2002,16,22,88,547,1270,19,83,67,354,526,676,400,1010,517,729,237,139,84,71,8820,2160,5030,1530,2520,989,879,517,546,324,168
"PL0_5010_5130",29.8,1.6,3.5,5.6,7.6,9,9.8,12,7.9,4.9,2.1,1.2,0.93,33.9,33.1,44.4,33.8,36.4,25.4,23.9,19.1,29.4,20,29.9,29,0,0.52,6.85e-16,0.537,-6.18e-15,0.733,1.09,3.59,5.15,12.3,0.000268,1986,0.267,1.3,10,119,361,0.629,6.84,131,232,183,241,149,271,192,179,131,160,132,204,1570,896,759,360,349,174,145,82,98.5,46.7,29.8
"PM1_4430_4200",96.1,6.56,16,29,37,50,53,52,35,19,11,5.25,2.9,132,127,197,151,128,73.6,47.6,24.4,49.8,37.5,65.7,120,0.09,1.4,0.0933,2.06,0.0957,2.09,0.449,4.6,2.5,18.1,0.304,1986,0.457,2.4,45,313,874,1.3,41.2,97,274,319,290,215,788,416,238,153,141,41,60,5400,2140,2320,1080,1300,622,654,346,449,214,96.1
"PS2_6730_6660",163,35,42,65,72,92,104,107,75,50,45,37,35,208,216,265,252,174,125,85.4,70.2,148,93.6,182,149,15.7,31,16.1,32,16.5,32.9,17.4,34.3,19.1,53.6,22.6,2002,19.1,29,91,496,1290,29,87.3,83.6,373,313,382,238,583,509,294,206,132,69.9,62,9070,1500,6890,1370,3910,881,1310,433,811,277,163
"PS3_6460_6230",345,93,104,131,168,188,263,215,181,132,110,94.1,95,445,501,594,484,375,274,187,163,316,198,306,317,17.9,80,19,81,20.2,82.6,27.9,91,36.3,132,44.4,2002,37.9,66,197,1030,2410,67.4,194,231,606,1060,1100,926,1730,1000,737,400,360,207,185,26000,3340,12800,2540,6380,1600,2370,886,1610,586,345
"PU2_4730_4220",58.4,12,16.4,18.5,23,25.2,25.4,26.5,20,16.4,13,11.5,11.5,73.2,73.2,114,76.1,61.3,38.6,27.8,23.9,45.7,38.5,56,73.7,1.7,8.2,1.7,8.2,1.8,8.2,2.43,11.5,4.1,16.5,3.15,1986,3.3,7.01,26,184,611,3.8,23.3,37,300,409,265,192,729,174,150,69,83,39.5,44,3980,1480,1550,719,782,350,340,172,186,108,58.4
"YP1_6570_6680",94.1,5.7,22.2,41,55,72.4,70,59,31.5,16.5,8.1,4.25,4.9,132,163,192,142,112,50.1,34.3,36.6,43.4,35.3,85.6,109,0.05,1.6,0.0633,1.63,0.139,1.89,0.368,7.08,2.02,16.6,0.334,1999,0.57,2.1,48,332,840,1.2,41.3,81.2,217,288,387,386,504,410,314,110,104,62.1,77,3320,1150,2350,795,1360,561,728,253,512,173,94.1
"JA1_7600_7570",144,12,36,48,63,98,92,77,39,23,13,11,4.3,203,217,290,207,145,82.3,54.5,69.6,110,56.2,150,149,0,3.9,-6.69e-15,4.07,0.06,4.36,0.443,7.82,1.16,32.2,0.588,2002,0.9,4.5,70,451,1470,2.85,56.4,118,464,333,680,676,1380,624,379,192,131,111,55,8320,2670,5870,1880,2850,981,1040,436,676,259,144
"JL1_6760_6910",128,31,45,63,66,86.4,88,88.5,66.6,41,33.6,23,21.8,160,180,217,171,145,96,87.4,58.2,93.3,76.5,123,130,0,15,0.00667,16.3,0.00857,17.1,0.316,24.7,1.06,47.4,1.69,2002,1.62,12.2,80,358,960,8.44,69.2,140,310,426,618,356,838,373,301,228,241,112,83,6510,1870,2820,947,1590,558,804,303,542,206,128
"JL1_7080_7190",96.6,15,26,41,47,53,66,59,45,27,13,10,8.6,126,113,145,141,111,89.6,43.3,35.4,76.6,58.6,111,110,0.31,5.6,0.443,5.97,0.661,6.39,1.56,9.54,4.97,22.5,2.16,2002,3.1,7,60,281,624,4.79,50.1,67,195,207,269,180,281,255,168,104,79,53,61,8110,1300,4360,928,2230,577,654,289,318,185,96.6
"JL1_6940_7200",163,23,45,75,80,92,108,99,80,43,22,22,17,217,205,254,239,180,134,75.9,65.4,137,93.4,181,185,0.53,12.8,0.547,13.1,0.607,13.9,1.45,19.5,4.42,45.5,3.73,2002,4.73,15,101,500,1070,11,86.9,126,392,420,582,334,518,428,286,220,215,90,114,7180,2170,3880,1500,2250,995,807,518,618,303,163
"JL1_6770_6850",145,19,43,65,68,90,107,94,67,33,24,16,12,184,181,233,211,160,126,74.2,61,116,85.5,157,154,0.07,8.5,0.0867,8.5,0.119,9.43,0.638,16,1.36,34.4,1.49,2002,1.64,9.5,86,461,1020,7.39,73.9,156,388,352,496,317,524,400,335,198,117,88.1,75,5600,1790,3960,1220,2360,804,863,434,525,282,145
"JL2_7110_7120",208,43.5,71,93,115,140,140,124,96,61,39.5,27.8,29,265,299,404,267,244,144,118,115,126,104,242,209,7.9,24,8.7,25.3,9.74,27.6,13.4,36.9,27.1,73.9,11.5,1986,13.9,27,122,622,1810,22,102,130,851,785,1080,1210,2100,651,627,320,349,258,93.5,7640,3120,4810,1730,2920,1120,1070,456,679,341,208
"JL2_7240_7350",171,35,58,92,88,145,125,112,101,71,46,33,28,205,204,293,255,219,146,105,78.6,97.7,105,161,182,9.5,25,10.5,25.7,12.1,26.3,19.3,33.7,28.3,59.1,12.8,1986,16.2,26,117,468,1100,21,103,94,317,439,432,338,476,424,370,203,166,94,102,5560,3230,4230,1940,2310,1050,790,495,492,366,171
"JU1_7750_7560",35.8,3.9,5.7,6.6,7,16,23.9,14,12.3,7.8,5.9,4.2,4.22,38.5,56.9,68.7,63.4,41.5,36.2,14.4,12.6,25.4,13.7,35.2,25.3,0.25,2.9,0.267,3.2,0.359,3.44,0.985,4.82,1.49,7.09,1.29,2002,1.34,2.9,12,118,403,2.8,14.5,14,26,44,113,137,201,124,51,27,21,14,14,7400,967,3000,536,1440,290,395,126,198,69.9,35.8
"JU2_7450_7360",180,26,36,53,71,86,140,115,87,46,31,24,24,240,284,343,293,234,147,68.3,55.9,106,78.7,152,163,17,22,17.3,22.7,18,23.3,20.8,28.1,25.1,43.9,19.5,1999,20.6,24,92,569,1380,21.5,85.8,75,293,525,652,661,908,680,742,193,120,83,70.4,7430,2470,4950,1730,2450,1110,1240,561,699,334,180
"PL0_5540_5490",7.31,0.5,1.1,2.2,2.4,3.5,3.3,3.3,1.7,0.58,0.31,0.14,0.1,10.7,12.1,13.9,10.7,9.36,4.51,2.95,1.45,3.73,3.16,7.45,8.15,0,0.06,-6.27e-15,0.07,-9.55e-15,0.0843,0.0213,0.179,0.0994,1.07,0.00000129,2002,0,0.09,2.9,25,89,0.04,2.35,7.2,65,41,74,38,72,42.7,32,13,10,5.1,8.4,549,193,215,92,107,45.8,64,20,38.9,12.7,7.31
"PL0_5730_5690",33.3,1.8,6.1,11,15,21,18,20,11,4.5,1.8,1.4,0.75,46.5,47.2,59.2,49.7,39.3,19.9,15.3,10.7,18.5,17.3,35.1,40.7,0,0.32,0.00667,0.358,0.0143,0.461,0.0813,0.978,0.615,6.4,0.0298,1998,0.062,0.59,17,111,299,0.18,13.5,33,225,174,235,137,227,218,136,62.2,80,48,24,1810,638,700,308,354,189,179,86,112,55.8,33.3
"PL1_5370_5470",90.7,2.8,7.5,16,26,33,36.8,32,12.5,3.65,1.85,1.23,0.78,146,150,186,114,86.9,50.8,30.7,31.9,50.2,41.2,82.6,123,0,0.3,-8.9e-16,0.52,0.0114,0.659,0.353,3.02,1.46,16.2,0.0293,1985,0.07,0.82,29.2,360,1070,0.15,23.8,125,679,635,821,400,718,404,285,153,156,124,179,4760,1620,2320,822,1180,459,644,234,414,137,90.7
"PM2_4860_4670",132,9.1,23,43,47,72.5,77.5,77.5,53.5,26.1,13,8.08,1.2,164,159,242,221,180,114,59.6,43,104,61.1,98.5,158,0,0.545,-3.8e-16,0.653,-1.07e-15,0.848,0.000333,3.33,1.64,15.4,0.0000385,1985,0,0.58,67,460,1050,0.04,60.1,185,453,370,434,270,636,582,414,174,130,92.4,53,14000,1780,5400,1180,2860,730,890,469,475,274,132
"PS1_4790_4830",109,11,17,33,43,48,59,56,35,19.9,11,10,8.6,139,140,239,188,135,81.4,33.7,29.1,69.3,46.4,99.6,114,3.4,7.67,3.57,7.84,4,8.93,5.07,11.1,7.51,19.8,5.62,1999,5.9,9.3,50,369,1070,6.7,45.5,58,300,285,337,277,774,472,383,171,63,46,79,7400,2060,3640,1170,1710,663,795,344,446,200,109
"PS2_5550_5560",211,5.5,16,43,48,56,95,69,47.3,20.6,8.4,6.8,5.08,263,260,423,337,297,151,65.7,71,169,81.2,228,191,0.39,2.57,0.4,2.57,0.42,2.77,0.579,4.11,2.77,33.6,0.917,1988,1.29,2.52,70,773,2310,1.5,65.1,51,1140,571,904,509,2050,714,1380,402,412,68,39.8,26400,4530,14600,2930,7290,1570,1900,700,878,407,211
"RU2_5940_6200",237,49,82.7,124,123,140,154,178,113,63.6,54,36,30,291,291,353,301,244,223,138,97.9,239,164,266,246,1.99,24,2.03,24.7,2.46,26,5.89,44.2,14.1,82,7.51,2002,9.71,28,150,639,1600,21.9,125,358,821,771,938,392,903,643,398,389,412,256,412,13200,5070,9390,2560,4970,1360,1400,634,907,397,237
"RU2_6090_6220",155,24.5,49.5,66.8,70.5,78,96.5,99,66,39.8,23,20,17.9,169,154,217,220,160,191,71.3,59.6,167,105,168,169,0.45,10,0.663,10.7,1.09,12.4,3.33,18.9,10.1,54.3,3.02,2002,5.18,13,91.4,433,1040,12,77.4,130,376,516,460,230,542,436,221,188,179,100,133,29400,2490,14900,1310,6920,874,1680,422,622,257,155
"RU2_5810_5610",333,66,119,142,178,212,229,254,202,85.5,60,38.6,18.6,355,366,450,517,449,281,181,106,280,271,386,367,1.06,11,1.13,12,1.61,13.4,8.56,24.4,24.4,77.8,3.41,2002,5.7,19.7,224,935,2260,6.98,178,675,1080,999,941,612,1150,1150,1090,700,583,250,307,18500,4160,11800,3080,6270,1870,1890,951,953,528,333
"RU2_5500_5610",333,66,119,142,178,212,229,254,202,85.5,60,38.6,18.6,355,366,450,517,449,281,181,106,280,271,386,367,1.06,11,1.13,12,1.61,13.4,8.56,24.4,24.4,77.8,3.41,2002,5.7,19.7,224,935,2260,6.98,178,675,1080,999,941,612,1150,1150,1090,700,583,250,307,18500,4160,11800,3080,6270,1870,1890,951,953,528,333
"YM2_6120_6430",224,7.6,27,70,120,147,151,121,53,23,10.9,6.9,2.7,334,408,462,353,228,118,69.2,62.7,90,91.8,200,279,0,2,0,2.23,0,2.79,-4.68e-14,6.03,0.806,28.4,0.0000183,2002,0.01,2.2,105,778,1970,1.38,96.4,240,473,712,662,720,1250,1140,596,400,240,123,64,7140,2400,5930,1810,3400,1240,1940,621,1330,445,224
"YP0_6860_6840",26.2,4.2,8.6,11,13,19,20.8,21,11,6.2,3.8,3.6,2.8,29.4,34.4,42.5,36.6,26.7,17.1,15.9,25.4,22.4,15.3,23.8,25.7,0,2.2,-1.49e-14,2.23,2.53e-15,2.41,0.0693,3.59,1,9.38,0.000000273,2002,0.294,2.4,17,73,181,1.9,14,38,45,59.5,79,87,119,100,76,36.2,72,52,32,3840,286,1760,195,816,111,265,54.2,129,39.9,26.2
"YP2_6390_6330",285,42,45,45,69,68,68,67,53,46,48,41,43,408,417,595,392,371,219,125,120,97.5,89.1,292,298,38,40,38.3,41,39.4,42.4,41.8,45.5,45.6,58.2,39.8,1989,40,42,94,1190,2900,42,91.7,79,1640,1790,2040,1570,2220,1280,1140,711,203,285,80,8330,5420,7090,4580,4250,2770,1830,962,1180,614,285
"YP3_6470_6690",378,54,99,190,221,271,251,214,132,71.6,48.5,39.4,25,525,546,658,521,387,216,222,213,222,181,380,506,11,17,12.7,18.3,13.4,20.4,18.7,30.9,35.8,101,14.2,1993,17,29,218,1330,2930,20,168,485,1280,1830,1670,1600,1810,1170,882,485,916,280,289,7680,3650,7280,3270,4770,2580,1940,1140,1290,724,378
"JA4_7280_7340",705,116,197,277,331,470,468,436,298,189,115,89,89,938,1120,1310,1030,707,456,337,313,502,312,651,816,2.6,77,2.94,78.7,4.04,83.4,9.87,113,26.1,178,26.5,2002,27.2,84.5,381,2800,5010,81.9,328,636,1720,1500,2500,3040,3120,3260,1680,740,504,721,500,13400,4690,11100,4520,8950,3470,4230,1820,2990,1300,705
"JA5_7480_0001",1240,129,306,457,580,829,824,644,415,206,139,118,93,1690,2010,2370,1910,1260,761,506,537,889,477,1080,1390,18.3,71,18.6,74.3,18.9,82.2,25.8,96.4,32.9,287,38.9,2002,36.8,84,640,5030,9550,70,524,704,1760,2200,4090,4510,6300,5630,2700,1200,742,1120,280,21200,8750,18300,8390,15300,7250,7240,3670,5510,2170,1240
"JL2_6441_6520",302,16,92,129,122,182,188,168,103,46,18,16,14,410,344,482,429,324,272,187,113,214,196,350,314,3.6,11,4.17,14.3,5.7,21.2,9.73,40.2,42.5,84.2,10.2,1988,9.3,20,184,912,2320,15,127,260,700,925,1040,708,1230,700,592,519,838,248,216,15000,6370,7840,3090,4480,2020,1530,896,923,545,302
"JL4_6520_6710",720,100,220,299,323,444,422,426,290,180,113,81,69,941,952,1140,973,823,576,428,276,636,414,759,748,18,52,18.2,56.7,18.6,67.4,28.5,94.4,42.1,233,28.4,2002,32,63,416,2090,5710,54,337,661,2030,2340,3000,1860,3860,1830,1320,1450,1190,556,670,40800,11200,21400,7380,11100,4390,4120,1900,2750,1240,720
"JL6_6890_6990",5390,918,1410,2030,2140,2950,3790,3450,3100,1840,1450,1140,862,6970,7540,9370,8510,6650,4700,2650,2260,3640,2680,4720,5190,452,797,479,894,499,985,629,1150,826,1790,665,2002,708,974,3210,16800,34800,891,2910,3410,11900,15400,17300,13100,21100,21600,11900,5260,5030,3150,2940,199000,57400,144000,46000,82700,29700,28900,14600,18500,9710,5390
