"","USGS Gage","Model","Pct. Error"
"Max. 1 Day Max",5710,2620,-54.1
"Med. 1 Day Max",1370,1300,-5.11
"Max. 3 Day Max",4300,2010,-53.3
"Med. 3 Day Max",1270,1130,-11
"Max. 7 Day Max",2380,1650,-30.7
"Med. 7 Day Max",1100,751,-31.7
"Max. 30 Day Max",1200,1310,9.17
"Med. 30 Day Max",628,563,-10.4
"Max. 90 Day Max",839,907,8.1
"Med. 90 Day Max",438,491,12.1
