"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",409,213,-47.9
"Med. 1 Day Min",654,481,-26.5
"Min. 3 Day Min",443,214,-51.7
"Med. 3 Day Min",761,495,-35
"Min. 7 Day Min",460,216,-53
"Med. 7 Day Min",789,532,-32.6
"Min. 30 Day Min",556,262,-52.9
"Med. 30 Day Min",1020,707,-30.7
"Min. 90 Day Min",713,554,-22.3
"Med. 90 Day Min",1430,1300,-9.09
"7Q10",588,303,-48.5
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",1561.70410958904,1539.43527959944,-1.43
"Mean Baseflow",2310,2470,6.93
