"hydroid","Well","Date","Value","Parameter","varkey"
"59963","NORTH FORK RIVANNA RIVER","2018/12/01","10.592","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/11/01","11.642","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/10/01","11.809","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/09/01","11.204","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/08/01","13.424","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/07/01","13.53","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/06/01","6.208","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/05/01","11.642","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/04/01","10.135","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/03/01","10.181","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/02/01","8.73","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/01/01","0","Where the metered value was observed, customer (V) or source (S).","water_meterloc"
"59963","NORTH FORK RIVANNA RIVER","2018/01/01","130.863","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2018/01/01","11.766","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2018/01/01","0.75","Maximum daily water use by a system or MP based on annual report","max_daily_wd_mgd"
"59963","NORTH FORK RIVANNA RIVER","2018/01/01","0","Method used to determine amount withdrawn or transferred.  Options are estimated (E) and measured (M).","water_meter_method"
"59963","NORTH FORK RIVANNA RIVER","2017/12/01","10.17","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/11/01","10.22","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/10/01","11.416","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/09/01","0.587","Maximum daily water use by a system or MP based on annual report","max_daily_wd_mgd"
"59963","NORTH FORK RIVANNA RIVER","2017/09/01","12.692","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/08/01","13.532","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/07/01","13.769","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/06/01","13.024","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/05/01","11.609","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/04/01","7.909","Monthly withdrawal in millions of gallons","wd_mgm"
