"hydroid","Well","Date","Value","Parameter","varkey"
"60423","WD FROM SP HOLLOW RES","2018/12/01","146.03","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/11/01","159.027","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/10/01","150.744","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/09/01","149.966","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/08/01","151.794","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/07/01","157.977","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/06/01","7.342","Maximum daily water use by a system or MP based on annual report","max_daily_wd_mgd"
"60423","WD FROM SP HOLLOW RES","2018/06/01","175.084","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/05/01","170.294","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/04/01","138.68","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/03/01","140.33","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/02/01","156.581","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/01/01","1,874.823","Withdrawal in MGY","wd_mgy"
"60423","WD FROM SP HOLLOW RES","2018/01/01","0","Where the metered value was observed, customer (V) or source (S).","water_meterloc"
"60423","WD FROM SP HOLLOW RES","2018/01/01","178.316","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2018/01/01","0","Method used to determine amount withdrawn or transferred.  Options are estimated (E) and measured (M).","water_meter_method"
"60423","WD FROM SP HOLLOW RES","2017/12/01","135.398","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/11/01","137.444","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/10/01","150.955","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/09/01","143.531","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/08/01","157.835","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/07/01","144.716","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/06/01","122.186","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/05/01","130.692","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/04/01","123.161","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/03/01","135.529","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/02/01","129.992","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2017/01/01","0","Maximum daily water use by a system or MP based on annual report","max_daily_wd_mgd"
"60423","WD FROM SP HOLLOW RES","2017/01/01","0","Where the metered value was observed, customer (V) or source (S).","water_meterloc"
"60423","WD FROM SP HOLLOW RES","2017/01/01","0","Method used to determine amount withdrawn or transferred.  Options are estimated (E) and measured (M).","water_meter_method"
"60423","WD FROM SP HOLLOW RES","2017/01/01","1,675.117","Withdrawal in MGY","wd_mgy"
"60423","WD FROM SP HOLLOW RES","2017/01/01","163.678","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2016/12/01","145.952","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2016/12/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"60423","WD FROM SP HOLLOW RES","2016/11/01","134.501","Monthly withdrawal in millions of gallons","wd_mgm"
"60423","WD FROM SP HOLLOW RES","2016/11/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
