"","USGS Gage","Model","Pct. Error"
"Jan. High Flow",586,589,0.512
"Feb. High Flow",1950,1500,-23.1
"Mar. High Flow",2070,1220,-41.1
"Apr. High Flow",2170,1470,-32.3
"May High Flow",1090,1060,-2.75
"Jun. High Flow",2320,2140,-7.76
"Jul. High Flow",1510,1130,-25.2
"Aug. High Flow",984,945,-3.96
"Sep. High Flow",1090,957,-12.2
"Oct. High Flow",884,758,-14.3
"Nov. High Flow",568,407,-28.3
"Dec. High Flow",593,376,-36.6
