"","RIVSEG"
"1","MN1_7620_7710"
"2","MN1_7730_8160"
"3","MN2_7720_7830"
"4","MN2_7830_7950"
"5","MN3_7770_7930"
"6","MN3_7930_8010"
"7","MN3_8010_7950"
"8","MN4_7710_8161"
"9","MN4_7950_7710"
"10","MN5_8160_0000"
"11","MN5_8161_8160"
"12","MN5_8230_8161"
