"","RIVSEG"
"1","244"
"2","245"
"3","246"
"4","247"
"5","248"
"6","RU2_6200_6170"
"7","RU2_6220_6170"
"8","RU3_5610_5640"
"9","RU3_6170_6040"
"10","RU4_5640_6030"
"11","RU4_6040_6030"
"12","RU5_6030_0001"
