"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","GROUP"
"1","OD1_8910_8930","OD1_9270_9110","OD2_8560_8630","OD2_8670_8890","OD2_8830_8710","OD2_8840_9020","OD2_8920_8830","OD3_8340_8520","OD3_8520_8621","OD3_8630_8720","OD3_8710_8470","OD3_8720_8900","OD3_8850_8931","OD3_8930_8931","OD3_8931_9140","OD3_9020_9110","OD4_8990_8900","OD4_9110_9140","OD4_9140_8990","OD5_8770_8780","OD5_8780_8660","OD5_8890_8770","OD5_8900_8770","OD5_8940_8780","OD6_8621_8470","OD6_8660_8621","OR1_7700_7980","OR1_8280_8020","OR1_8320_8271","OR2_7610_7780","OR2_7650_8070","OR2_7670_7840","OR2_7780_7890","OR2_7840_7970","OR2_7900_7740","OR2_8020_8130","OR2_8070_8120","OR2_8130_7900","OR2_8450_8490","OR2_8460_8271","OR3_7740_8271","OR4_8120_7890","OR4_8271_8120","OR5_7890_7970","OR5_7910_8410","OR5_7970_8200","OR5_7980_8200","OR5_8200_8370","OR5_8370_8410","OR5_8410_8470","OR7_8470_8490","OR7_8490_0000",1
"2","BS0_8441_0000","BS1_8730_8540","BS2_8590_8440","BS3_8580_8440","BS4_8440_8441","BS4_8540_8441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"3","MN1_7990_8100","MN2_8100_8190","MN2_8250_8190","MN2_8530_8510","MN3_8190_8260","MN4_8260_8400","MN4_8380_0000","MN4_8400_8380","MN4_8510_8380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"4","BS3_8330_0000","BS3_8350_8330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"5","MN1_7590_7860","MN3_7540_7680","MN3_7680_7860","MN3_7860_8080","MN4_7810_8080","MN4_8080_8110","MN4_8110_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"6","MN1_7620_7710","MN1_7730_8160","MN2_7720_7830","MN2_7830_7950","MN3_7770_7930","MN3_7930_8010","MN3_8010_7950","MN4_7710_8161","MN4_7950_7710","MN5_8160_0000","MN5_8161_8160","MN5_8230_8161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7","NR1_7880_8050","NR1_8030_8051","NR1_8820_8760","NR1_8960_8870","NR1_9030_9080","NR1_9150_9050","NR2_8210_8180","NR2_8600_8700","NR2_9250_9170","NR3_8290_8170","NR3_8420_8430","NR3_8430_7820","NR3_8690_8500","NR3_8740_8500","NR3_9170_9130","NR3_9190_9170","NR3_9240_9130","NR3_9310_9240","NR4_9130_9080","NR5_8700_8640","NR5_8760_8640","NR5_8870_8760","NR5_9050_8870","NR5_9080_9050","NR6_7820_7960","NR6_7960_8050","NR6_8000_0000","NR6_8050_8051","NR6_8051_8000","NR6_8170_7960","NR6_8180_8051","NR6_8500_7820","NR6_8640_8500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"8","TU1_9220_9200","TU2_8790_9070","TU2_8950_9040","TU2_9070_9090","TU2_9100_9200","TU2_9200_9180","TU3_9040_9180","TU3_9180_9090","TU4_9090_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"9","TU3_8880_9230","TU3_9060_9230","TU3_9230_9260","TU4_9260_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"10","TU1_8570_8680","TU2_8860_9000","TU2_8970_9280","TU3_8480_8680","TU4_8680_8810","TU4_8810_9000","TU5_9000_9280","TU5_9280_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"11","TU1_9010_9290","TU3_8650_8800","TU4_8800_9290","TU4_9290_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"12","MN0_8300_0001","BS4_8060_0000","BS1_8140_0000","KU0_8980_0000","MN0_7790_0000","MN0_7790_0000","MN2_7850_0000","MN0_7870_0000","MN0_7870_0000","MN0_8040_0000","MN3_8150_0000","MN1_8240_0000","NR0_8310_0000","TU1_9120_0000","TU0_9160_0000","TU0_9300_0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
