"","RIVSEG"
"1","JB3_6820_7053"
"2","PL0_5010_5130"
"3","JB0_7051_0001"
"4","JB0_7052_0001"
"5","RL0_6540_0001"
"6","JB2_7800_0001"
"7","JB1_8090_0001"
"8","PL0_5000_0001"
"9","PU0_6080_5620"
"10","PU2_3630_3590"
"11","PU2_3770_3600"
"12","RL5_6320_0000"
"13","WM1_3910_0001"
"14","RL1_6180_0001"
"15","PL0_5730_5690"
"16","PL0_5141_5140"
"17","PL1_5370_5470"
"18","YM1_6370_6620"
"19","PU2_5700_5210"
"20","PU2_6050_5190"
"21","XU2_4330_4480"
