"","RIVSEG"
"1","MN1_7990_8100"
"2","MN2_8100_8190"
"3","MN2_8250_8190"
"4","MN2_8530_8510"
"5","MN3_8190_8260"
"6","MN4_8260_8400"
"7","MN4_8380_0000"
"8","MN4_8400_8380"
"9","MN4_8510_8380"
