"","USGS Gage","Model","Pct. Error"
"Overall Mean Flow",4210,4180,-0.713
"Jan. Mean Flow",5330,5260,-1.31
"Feb. Mean Flow",5960,6660,11.7
"Mar. Mean Flow",7460,7550,1.21
"Apr. Mean Flow",6650,6160,-7.37
"May Mean Flow",5230,4670,-10.7
"Jun. Mean Flow",3700,3640,-1.62
"Jul. Mean Flow",2100,1910,-9.05
"Aug. Mean Flow",1770,1640,-7.34
"Sep. Mean Flow",2790,3090,10.8
"Oct. Mean Flow",2090,2360,12.9
"Nov. Mean Flow",3530,3650,3.4
"Dec. Mean Flow",4030,3830,-4.96
