"","Model"
"Overall Mean Flow",253
"Jan. Mean Flow",343
"Feb. Mean Flow",481
"Mar. Mean Flow",476
"Apr. Mean Flow",367
"May Mean Flow",252
"Jun. Mean Flow",204
"Jul. Mean Flow",146
"Aug. Mean Flow",135
"Sep. Mean Flow",117
"Oct. Mean Flow",123
"Nov. Mean Flow",166
"Dec. Mean Flow",243
