"","Model"
"Min. 1 Day Min",8.17
"Med. 1 Day Min",22.7
"Min. 3 Day Min",8.82
"Med. 3 Day Min",24.1
"Min. 7 Day Min",9.73
"Med. 7 Day Min",26.4
"Min. 30 Day Min",13.3
"Med. 30 Day Min",42
"Min. 90 Day Min",37.3
"Med. 90 Day Min",77.7
"7Q10",12.6
"Year of 90-Day Low Flow",1985
"Drought Year Mean",106.261273729716
"Mean Baseflow",155
