"","Model"
"Jan. Low Flow",43.5
"Feb. Low Flow",61.3
"Mar. Low Flow",87.8
"Apr. Low Flow",140
"May Low Flow",214
"Jun. Low Flow",231
"Jul. Low Flow",172
"Aug. Low Flow",127
"Sep. Low Flow",101
"Oct. Low Flow",66
"Nov. Low Flow",58.3
"Dec. Low Flow",51.3
