HUC,RivSeg
Roanoke,OR7_8490_0000
Big Sandy,BS4_8540_8441
Albemarle-Chowan,MN4_8510_8380
Big Sandy,BS3_8350_8330
Albemarle-Chowan,MN4_8110_0000
Albemarle-Chowan,MN5_8230_8161
Kanawha,NR6_8640_8500
French Broad-Holston,TU4_9090_0000
Upper Tennessee,TU4_9260_0000
Upper Tennessee,TU5_9280_0000
French Broad-Holston,TU4_9290_0000
