gage_number,river_segment
2077500,OD2_8830_8710
2077303,OD2_8920_8830
2071000,OD4_9140_8990
2068500,OD2_8840_9020
2073000,OD3_8630_8720
2075500,OD5_8780_8660
2074000,OD3_8720_8900
3167000,NR2_8600_8700
3531500,TU3_9230_9260
3161000,NR3_9310_9240
2072000,OD2_8560_8630
2075045,OD5_8900_8770+OD5_8890_8770
3208950,BS1_8730_8540
3209000,BS4_8540_8441
3207800,BS3_8350_8330
3475000,TU2_8790_9070
3473000,TU3_9040_9180+TU2_9200_9180
3471500,TU2_8950_9040
3168000,NR6_8640_8500+NR3_8740_8500+NR3_8690_8500
3164000,NR5_9050_8870+NR1_8960_8870
2069700,OD1_8910_8930
2070000,OD3_8850_8931
3524000,TU4_8680_8810
2052500,MN2_8530_8510
2065500,OR1_7700_7980
3488000,TU3_8650_8800
2054500,OR2_8020_8130
2053800,OR1_8280_8020
3527000,TU5_9000_9280+TU2_8970_9280
2056000,OR3_7740_8271
2054530,OR2_8130_7900
2055000,OR2_7900_7740
2052000,MN4_8260_8400
2051500,MN3_8190_8260
2051000,MN1_7990_8100
3176500,NR6_8051_8000
3170000,NR3_8420_8430
3175500,NR2_8210_8180
3173000,NR3_8290_8170
3171000,NR6_8500_7820+NR3_8430_7820
2056900,OR1_8320_8271
2077000,OD3_8340_8520
2066000,OR5_8200_8370
2058400,OR2_8460_8271
2062500,OR5_7890_7970
2074500,OD2_8670_8890
2064000,OR2_7670_7840
2059500,OR2_7650_8070
2060500,OR4_8120_7890
2045500,MN3_7930_8010
2044500,MN3_7770_7930
2047000,MN4_7710_8161+MN5_8230_8161
2046000,MN2_7720_7830
2047500,MN3_7540_7680
2049500,MN4_8080_8110
3208500,BS2_8590_8440+BS3_8580_8440
