"","USGS Gage","Model","Pct. Error"
"1% Non-Exceedance",10,0.142,-98.6
"5% Non-Exceedance",12,2.39,-80.1
"50% Non-Exceedance",60,72.1,20.2
"95% Non-Exceedance",453,327,-27.8
"99% Non-Exceedance",1180,810,-31.4
"Sept. 10% Non-Exceedance",12,11.3,-5.83
