"","Model"
"Min. 1 Day Min",6.47
"Med. 1 Day Min",25.8
"Min. 3 Day Min",6.75
"Med. 3 Day Min",27.4
"Min. 7 Day Min",8.25
"Med. 7 Day Min",30
"Min. 30 Day Min",15.2
"Med. 30 Day Min",45.7
"Min. 90 Day Min",42.4
"Med. 90 Day Min",87.6
"7Q10",12.9
"Year of 90-Day Low Flow",1985
"Drought Year Mean",123.841261188024
"Mean Baseflow",183
